Hospital Name,Lab Name,Address,City,Postcode,"Lab type 
(Academic, Public, Private)","Offer PD-L1 Testing 
(Yes/No/Validating)",When did you start testing?,"PD-L1 Testing Performed 
(In house/ Send out)",Name of Sendout Lab,"PD-L1 Diagnostic algorithm 
(Individual, Panel, Reflex)","PD-L1 volume (NSCLC) 
for April to May","EGFR volume (NSCLC) 
for April to May","ALK volume (NSCLC) 
for April to May","
NSCLC volume 
for April to May","Number of Methods 
for PD-L1","Methodology 
(LDT/Kit/Both)","LDT PD-L1 
Antibody(ies)","PD-L1 Kit 
28-8 Dako Kit ","PD-L1 Kit 
22C3 Dako Kit ","PD-L1 Kit 
SP263 
Ventana Kit ","Laboratory Algorithm  
(Parallel, Sequential)",PD-L1 Platform/ Autostainer 1,PD-L1 Platform/ Autostainer 2,"Clinical cut-off
(50%, 10%, 1%, 
Reporting percentage tumor cells expressed)","PD-L1 Expression level at
?1%","PD-L1 Expression level at
overall ?50% ","PD-L1 
Average TAT",Report Style,PD-L1 Funding (Local/ Pharma),Comments,filename,worksheetname,Country,data_collection_period_start,date_collection_period_end,Disease,Unnamed: 37,worksheet,country,year,firstdate,seconddate
 Hôpital Hautepierre - CHU de Strasbourg,Laboratoire d'anatomopathologie Hôpital Hautepierre,1 avenue Molière,Strasbourg Cedex,67098.0,Academic,No,,,,,,20.0,20.0,20.0,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2069,France,23-Apr-17,22-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital de la Croix Rousse,Laboratoire d'anatomopathologie,50 bld Pinel,Lyon,69004.0,Academic,Sendout,,,Centre Hospitalier Lyon Sud (see comments),,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2070,France,24-Apr-17,23-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Edouard Herriot,Laboratoire d'Anatomie Pathologique/ UF biologie des tumeurs,5 place d'Arsonval,Lyon Cedex 03,69437.0,Academic,Sendout,,,Hospices civils du Lyon : Groupement Hospitalier Est (see comments),,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2071,France,25-Apr-17,24-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Avicenne,Laboratoire de Biologie Moléculaire/Service de Biochimie et de biologie moléculaire /Service d'anatomie et de cytologie pathologiques,125 rue de Stalingrad,Paris Bobigny Cedex,93009.0,Hospital,No,,,,,,18.0,18.0,18.0,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2072,France,26-Apr-17,25-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital Paul Brousse,Laboratoire d'anatomopathologie/ Laboratoire de Biologie Moléculaire,14 avenue Paul Vaillant Couturier,Paris Villejuif cedex,94804.0,Hospital,No,,,,,,38.0,38.0,38.0,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2073,France,27-Apr-17,26-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
CHU d'Angers,"Plateforme SNP, Transcriptome et Epigénomique ",4 rue Larrey,Angers Cedex 09,49933.0,Academic,No,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2074,France,28-Apr-17,27-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Hôpital clémenceau,Laboratoire de Biologie Moléculaire Hôpital clémenceau,Avenue Georges Clémenceau,Caen Cedex 09,14033.0,Academic,No,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2075,France,29-Apr-17,28-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
Faculté de Nice,Laboratoire de Biologie Moléculaire/Laboratoire de Génétique des tumeurs solides,28 avenue de Valombrose,Nice 02,6107.0,Hospital,No,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,France Apr-May 2076,France,30-Apr-17,29-Jul-17,Lung,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,,,,,,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
,,,,,,* Leon Berard is treating lung cancer patients in clinical trials only - and they are testing them for PD-L1 in this context. The CTs are not only pharma funded but also from the center.,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,,,,,,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,,,,,,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,,,,,,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,,,,,,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,,,,,,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,,,,,,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,,,,,,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,,,,,,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,,,,,,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,,,,,,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,,,,,,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,,,,,,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,,,,,,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France PDL1 Excel_worksheet_France Apr-May 2017,,,,,,,France Apr-May 2017,france,2017,2017-04-01,2017-05-01
